,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hero,Title,Hero Order,Role(s),Specialty(ies),Lane Recommendation(s),Health,Health Regen,Mana,Mana Regen,Attack Speed,Physical Damage,Magical Damage,Physical Defense,Magical Defense,Movement Speed,Energy,Energy Regen,Price,Specialty,Win Rate,Hero, Name Pasive Abilities,Ability,Pasive Deskripsi,Skill 1 Name Abilities,Skill 1 Ability,Skill 1 Pasive Deskripsi,Skill 2 Name Abilities,Skill 2 Ability,Skill 2 Pasive Deskripsi,Skill 3 Name Abilities,Skill 3 Ability,Skill 3 Pasive Deskripsi
Hilda,Hilda,35,Tank/Fighter,TBA,EXP Lane/Roaming,2789,8.4,0,0,1.05 ┃ 100%,123,0,24,15,260,,,24000   499,Damage/Regen,359W : 408L (46.81%),Hilda,Blessing of Wilderness,BUFF,"Hilda regenerates 2% of her max HP per second while in the bush. When entering the bush, she gains a shield equal to 15% of her max HP. After leaving the bush, the shield lasts for 5s. This effect has a 10s cooldown.",Combat Ritual,Speed Up AoE,"Hilda activates the runic power of the great sword, increasing her Movement Speed by 60% for 3s and enhancing her next Basic Attack: It deals 200 (+100% Total Physical Attack) Physical Damage and slows the target by 40% for 3s. It also deals 120 (+60% Total Physical Attack) Physical Damage to enemies behind the target.",Art of Hunting,Damage CC,"Hilda locks onto an enemy target, each time dealing 220 (+100% Total Physical Attack) Physical Damage. Skill can be released 3 times at most. The 2nd attack will deal damage to target's surroundings, and the 3rd attack will knock back the target and surrounding enemies temporarily.",Power of Wildness,Burst CC,"Hilda launches a powerful slash on the target enemy, dealing them 600 (+250% Extra Physical Attack) Physical Damage and stunning them for 0.2s. Nearby enemies also take 60% damage.
Hilda's Basic Attack and skill apply a mark on hit, each mark lasting up to 4s and allowing Power of Wildness to deal 2.5% of the target's Max HP as extra damage (up to 6 stacks). At max stacks, Power of Wildness deals 40% of the target's Max HP as extra damage and ignores 20% of their Physical Defense."
Aurora,"Aurora, the Frost Oracle",36,Mage,TBA,Mid Lane/Roaming,2501,6.8,750,23,1 ┃ 100%,110,0,17,15,245,,,24000   499,Crowd Control/Poke,43W : 56L (43.43%),Aurora,Pride of Ice,BUFF,"Aurora gains a stack of Frost Energy on each skill cast. At 3 stacks, her next skill will freeze enemies hit for 1.5s. 

Aurora's skills deal 20% extra damage to frozen enemies.",Frost Shock,AoE Slow,"Aurora fires an icicle in the target direction that explodes on the first enemy hit, dealing 350(+200%Total Magic Power) Magic Damage to enemies in the area and slowing them by 25% for 1.5s.",Bitter Frost,Slow Damage,Aurora deals 450(+160%Total Magic Power) Magic Damage to the target enemy and slows them by 80% for 1.5s.,Cold Destruction,AoE Slow,"Aurora summons a giant icy meteorite to strike at the target location, dealing 800(+240%Total Magic Power) Magic Damage to enemies in the area and slowing them by 90% for 1.5s. Enemies near the area will also take 400(120%Total Magic Power) Magic Damage and be slowed by 60% for 1.5s."
Lapu-Lapu,"Lapu-Lapu, the Courageous Blade",37,Fighter,Chase,EXP Lane,2628,7,0,0,1.12 ┃ 100%,119,0,21,15,260,,,32000   599,Chase/Burst,1084W : 1223L (46.99%),Lapu-Lapu,Homeland Defender,BUFF Shield,"Lapu-Lapu accumulates 10 Bravery Blessing each time he deals damage (halved for damage dealt to non-hero units). When Bravery Blessing is full, Lapu-Lapu's next Basic Attack will make him dash toward the target, dealing 250(+65*Hero Level) Physical Damage (cannot critically strike) and granting him a shield that absorbs 2.5 damage for (+150% Total Physical Attack)s.",Justice Blades,AoE,"Lapu-Lapu releases two boomerangs in the target direction, each boomerang dealing 175(+50%Total Physical Attack) Physical Damage to enemies hit on its way out and back.
Enemies hit by both boomerangs take 50% damage from the second hit.",Land Shaker,CC AoE,"Lapu-Lapu channels for 0.7s, slowing enemies in the target direction by 60%. He then slams his heavy sword to the ground, dealing 250(+100%Total Physical Attack) Physical Damage to enemies hit and stunning them for 1s.",Jungle Warrior,Blink Damage,"Lapu-Lapu dashes in the target direction, dealing 100(+50%Total Physical Attack) Physical Damage to enemies along the way."
Vexana,"Vexana, the Shimmer of Hope",38,Mage,Poke,Mid Lane,2481,7.6,490,20,1 ┃ 100%,112,0,17,15,245,,,32000   599,Poke/Control,10W : 18L (35.71%),Vexana,Nether Touch,Damage,"Vexana and the Undead Knight inflict Nether Curse on enemies hit. The Curse lasts 5s and will cause the affected enemy to explode upon death, dealing 220~500(+60%Total Magic Power) Magic Damage to nearby enemies (base damage scales with level).",Deathly Grasp,CC AoE,"Vexana unleashes a Phantom Claw in the target direction, dealing 200(+60%Total Magic Power) Magic Damage to enemies in its path. The Claw stops upon hitting an enemy hero, terrifying them and exposing their position for 1s. Phantom Power will then erupt at their location, dealing 200(+60%Total Magic Power) Magic Damage to nearby enemies and terrifying them for 1s.",Cursed Blast,AoE,"Vexana marks the target area with the power of the undead, slowing enemies within by 30%. After a 1s delay, a blast of Nether Energy will strike at the area, dealing 450(+200%Total Magic Power) Magic Damage to enemies hit.",Eternal Guard,Summon Damage,"Vexana summons an Undead Knight at the target location, dealing 500(+60%Total Magic Power) Magic Damage to enemies hit and knocking them airborne for 0.8s. The Undead Knight then joins Vexana in battle for 15s. Its each attack deals 225(+40%Total Magic Power) Magic Damage to enemies in a large area."
Roger,"Roger, the Dire Wolf Hunter",39,Fighter/Marksman,Finisher/Burst,Jungling,2730,7.2,450,15,1.05 ┃ 100%,128,0,22,15,240,,,24000   499,Marksman,441W : 502L (46.77%),Roger,Full Moon Curse,BUFF,"Roger can freely switch between human and wolf forms.

In human form, Roger's Basic Attacks inflict 10% slow on hit.

In wolf form, Roger's Basic Attacks deal 5% of the target's lost HP as extra damage (up to 60 against creeps).",Open Fire,Damage Debuff,"Roger fires two quick shots in the target direction, dealing 300 (+150% Total Physical Attack) Physical Damage in total to the enemy hit. The first shot is a hunter net that slows the enemy by 80% for 1.5s, while the second is a bullet that reduces the enemy's Physical Defense by 10 for 5s.",Lycan Pounce,Blink Burst,"Roger lunges at the target enemy, becoming untargetable while dealing 300 (+150% Total Physical Attack) Physical Damage to up to 3 enemies in the area.
Kills or assists will reduce the cooldown of this skill by 80%.",Hunter's Steps,Speed Up,Roger gains 40% extra Movement Speed for 2.5s.
Karrie,"Karrie, the Lost Star",40,Marksman,Finisher,Gold Lane,2578,8,440,15,1.04 ┃ 100%,120,0,17,15,240,,,24000   499,Reap/Damage,1369W : 1537L (47.11%),Karrie,Lightwheel Mark,BUFF,"Karrie's Basic Attacks and skills apply a Lightwheel Mark on hit. Once the number of Lightwheel Marks on an enemy reaches five, the marks will turn into an actual lightwheel, dealing them True Damage equal to 8%-12% of their Max HP (up to 300 against creeps).",Spinning Light Wheel,AoE Slow,"Karrie releases a sphere of surging energy in the target direction, dealing 250(+90%Total Physical Attack) Physical Damage to enemies in its path. The sphere will stop upon hitting an enemy hero or reaching its max travel distance, continuously dealing 150(+20%Total Physical Attack) Physical Damage to nearby enemies and slowing them by 80% for 1s.",Phantom Step,Blink Damage,"Karrie dashes in the target direction while releasing a lightwheel to the nearest enemy, dealing them 150(+70%Total Physical Attack) Physical Damage and applying a Lightwheel Mark to them.
Dual Wield: Karrie releases two lightwheels instead.",Speedy Lightwheel,BUFF Burst,"Karrie enters the Dual Wield mode for 6s, during which she gains 20% extra Movement Speed and releases two lightwheels on each Basic Attack, each lightwheel dealing 65% damage."
Gatotkaca,"Gatotkaca, the Mighty Legend",41,Tank/Fighter,Crowd Control/Burst,EXP Lane/Roaming,2629,8.4,0,0,1.02 ┃ 100%,128,0,10,15,260,,,32000   599,Crowd Control/Burst,98W : 108L (47.57%),Gatotkaca,Steel Bones,BUFF HEAL,"﻿Gatotkaca gains extra Physical Defense by 2% of his lost HP (up to 200). For every 300 damage he received (calculated before damage reduction), he gains 5 Rage (up to 100).

Upon reaching over 25 Rage, Gatotkaca's next Basic Attack becomes empowered, consuming all his Rage to deal extra damage and heal him. The extra damage scales with his Rage, Level, and Magic Power.",Blast Iron Fist,AoE Slow,"﻿Gatotkaca slams the ground, creating a shattered zone in the target direction while dealing 200(+150%Total Magic Power) Magic Damage to enemies within. Enemies in the shattered zone will take 100(+20%Total Magic Power) Magic Damage per second and be slowed by 30%.",Unbreakable,CC Blink,"Gatotkaca begins channeling, then sprints in the target direction with a battle cry, forcing enemies on the path to attack him and deal 200(+100%Total Magic Power) Magic Damage for 1.5s. The sprint distance scales with the channel time. Canceling the Skill reduces 50% of the remaining Cooldown.",Avatar of Guardian,CC Blink,"Gatotkaca jumps to the target location, dealing 500 (+300% Total Magic Power) Magic Damage to nearby enemies and knocking them airborne for 1s. Enemies near the center of the area will be knocked airborne for a longer duration, while enemies on the fringes will be pulled to the center. The camera will move with the skill indicator but won't grant extra sight."
Harley,"Harley, the Mage Genius",42,Assassin/Mage,Burst/Poke,Jungling/Mid Lane,2501,7.2,490,18,1.06 ┃ 100%,114,0,19,15,240,,,32000   599,Burst/Poke,265W : 286L (48.09%),Harley,Magic Master,Debuff,Harley's mastery of magic allows his Basic Attacks to deal 60 (+50% Total Physical Attack) (+60% Total Magic Power) Magic Damage. His attacks reduce the enemy's Magic Defense by 2 for 3s on hit (up to 10 stacks).,Poker Trick,AoE BUFF,"Harley throws 3 waves of cards in the target direction, each dealing 130 (+25% Total Magic Power) Magic Damage to the first enemy hit and granting him 10% extra Attack Speed for 3s on hit (up to 5 stacks). Enemies hit more than 3 times will take less damage from subsequent hits.",Space Escape,Blink Speed Up,"Harley blinks in the designated direction, leaving a magic hat at his place, increasing his Movement Speed by 30% for 2s.
Use Again: Use again within 4s to return to where the hat is and lose the speed boost.",Deadly Magic,Burst Slow,"Harley casts a magic ring of fire at the target enemy hero (can be blocked by other heroes), dealing them 200 (+60% Total Magic Power) Magic Damage and slowing them by 40% for 1.5s. The magic ring stays around the enemy for 4s, during which Harley can hit the magic ring to damage the enemy with his skills. The magic ring will explode at the end of the duration, dealing 100 (+30% Total Magic Power) plus 50% of the enemy's damage taken within the duration as Magic Damage."
Irithel,"Irithel, the Jungle Heart",43,Marksman,Finisher,Gold Lane,2540,7,0,0,1.03 ┃ 80%,118,0,17,15,260,,,32000   599,Reap/Burst,1037W : 1052L (49.64%),Irithel,Jungle Heart,BUFF,"Irithel's movement won't be interrupted by her attacks. She shoots 2 crossbow bolts on each Basic Attack (the bolts take longer to refill), each bolt dealing (+55% Total Physical Attack) Physical Damage. Only the first bolt can trigger attack effects.

After traveling 10 units, Irithel will shoot 1 extra bolt(s) on her next Basic Attack.",Strafe,AoE Debuff,"Irithel launches a volley of arrows on the target area, dealing 330 (+60% Total Physical Attack) Physical Damage to enemies within and reducing their Physical Defense by 15 for 3s.",Force of the Queen,Slow AoE,"Leo lets out a piercing roar, dealing 200 (+60% Total Physical Attack) Physical Damage to nearby enemies and slowing them by 40% for 2s.",Heavy Crossbow,BUFF Blink,"Irithel orders Leo to leap in the target direction and empowers her crossbow for 15s. For the duration, she gains 30 extra Movement Speed and shoots an enhanced crossbow bolt on each Basic Attack instead, dealing 120 (+60% Total Physical Attack) Physical Damage to the target and enemies around them. The preparation time of the extra bolt from Jungle Heart is also reduced."
Grock,"Grock, the Fortress Titan",44,Tank/Fighter,Crowd Control/Initiator,Roaming/EXP Lane,2819,8.4,430,12,1.01 ┃ 100%,135,0,21,15,260,,,32000   599,Crowd Control/Initiator,1900W : 2036L (48.27%),Grock,Ancestral Gift,BUFF,"When near a wall or turret, Grock gains 10% extra Movement Speed, 15(+8*Hero Level) extra Physical Defense, and 18(+4.8*Hero Level) extra HP Regen.

Each point of Grock's extra Physical Attack increases his Physical Defense by 0.5.",Power of Nature,AoE Slow,"When the skill button is held down, Grock continuously channels the Power of Nature. Upon reaching the maximum channel time or when the skill button is released, he launches a powerful sweep, dealing 300(+160%Extra Physical Attack) Physical Damage to nearby enemies and slowing them by 40% for 2s. The damage scales with the channel time.

Grock gains Control Immunity during the channeling when he's near a wall or turret.",Guardian's Barrier,CC AoE,"Grock conjures a stone wall at the target location, dealing 300(+50%Total Physical Attack) Physical Damage to nearby enemies. The stone wall lasts 5s and can block enemies who try to pass through.",Wild Charge,Blink AoE,"Grock charges in the target direction, dealing 360(+75%Total Physical Attack) Physical Damage to enemies in his path and knocking them airborne.

If he hits a wall or turret during this process, he deals 360(+90%Total Physical Attack) extra Physical Damage to nearby enemies and stuns them for 1.8s."
Argus,"Argus, the Dark Angel",45,Fighter,Charge,EXP Lane,2628,8,0,0,1.09 ┃ 100%,100,0,21,15,260,,,32000   599,Charge/Burst,3W : 9L (25%),Argus,Warmonger,BUFF,"Argus charges his Demonic Blade each time he deals damage. When the Blade is fully charged, Argus launches 1 extra attack on his next Basic Attack, dealing 155(+100%Total Physical Attack) extra Physical Damage and recovering 65(+40%Total Physical Attack) HP.",Demonic Grip,Blink AoE,"Argus stretches out a demonic hand in the target direction, dealing 125(+60% Extra Physical Attack) Physical Damage to the first enemy hero or creep hit, stunning them for 0.7s, and pulling them and himself toward the center. If no enemy is hit, Argus pulls himself toward the hand's destination instead.
Use Again: Argus dashes in the target direction, dealing 175(+100%Extra Physical Attack) Physical Damage to enemies along the way.",Meteoric Sword,Damage Debuff,"After a short delay, Argus thrusts his Demonic Blade in the target direction, dealing 300(+40% Total Physical Attack) Physical Damage to enemies hit (200% damage against minions) and slowing them by 80% for 0.8s.

Enemy heroes hit are cursed for 4s, during which they take 35(+16%Total Physical Attack) Physical Damage every 0.3s while moving and leave a Cursed Trail behind. Argus gains 40% extra Movement Speed on the Cursed Trail.",Eternal Evil,Death Immune BUFF,"Argus removes all debuffs on him (except for Suppression) and enters the Fallen Angel state, fully recharging his Demonic Blade and gaining Death Immunity for 4s. Meanwhile, the charging speed of his Blade is significantly increased, and 100% of his damage dealt to enemy heroes within the duration will be converted into his HP after the state ends. Leaving the state also resets enemy turrets' damage increase against him.
Passive:  Argus' Physical Attack is increased by 10."
Odette,"Odette, the Swan Princess",46,Mage,Burst,Mid Lane,2491,6.8,495,23,1 ┃ 100%,105,0,18,15,240,,,32000   599,Burst/Poke,13W : 15L (46.43%),Odette,Lakeshore Ambience,BUFF,"After each skill cast, Odette's next attack or skill will cast a sound wave that bounces between her and nearby enemies, each bounce dealing 144-200 (+50% Total Magic Power) Magic Damage.",Avian Authority,AoE Slow,"Odette releases a magic swan in the target direction, dealing 300 (+150% Total Magic Power) Magic Damage to enemies hit and slowing them by 30% for 2s.",Blue Nova,CC Damage,"Odette releases a set of magic energy balls in the target direction, dealing 250 (+50% Total Magic Power) Magic Damage to the first enemy hit and immobilizing them for 1.5s. After hitting an enemy. another energy ball will split off and attack a nearby enemy (prioritizes enemy heroes), dealing them 250 (+50% Total Magic Power) Magic Damage and immobilizing them for 1.5s.",Swan Song,Burst Blink,"Odette begins channeling magic, gaining a 1400 (+150% Total Magic Power) shield while dealing 240 (+90% Total Magic Power) Magic Damage to enemies in a large area around her every 0.5s for 5s. Use again while the skill is active to dash in the designated direction.

Enemies hit by the initial attack will be slowed by 90% (decays over 2s). The bounce speed and frequency of Lakeshore Ambience's sound wave in the area are also enhanced when the skill is active.

The channeling will be interrupted if Odette is controlled or performs other actions."
Lancelot,"Lancelot, the Blade of Roses",47,Assassin,Chase,Jungling,2549,7,450,16,1.08 ┃ 100%,124,0,16,15,260,,,32000   599,Chase/Burst,1485W : 1482L (50.05%),Lancelot,Soul Cutter,BUFF,"Each time Lancelot charges, his damage is increased by 7.5% for 4 s, up to 30%.",Puncture,Blink AoE,"Lancelot charges in a designated direction, dealing 100 (+50% Total Physical Attack) Physical Damage to enemies along the way and applying a Sword Mark to the first unmarked enemy hit. The Sword Mark lasts 5s.

If Lancelot successfully applies a Sword Mark to an enemy, the cooldown of this skill will reset.",Thorned Rose,AoE Slow,"Lancelot strikes in the target direction 3 times, each time dealing 225 (+100% Extra Physical Attack) Physical Damage to enemies hit (damage is reduced when multiple enemies are hit). He's untargetable and invincible during this process. Enemies in the center of the area take all the 3 hits and are slowed by 20% for 0.5s. The Slowing Effect can stack.

This skill only benefits from 40% of Lancelot's Spell Vamp.",Phantom Execution,Burst Blink,"After a short period of charging, Lancelot performs an executioner's strike in a forward direction, dealing 400 (+150% Total Physical Attack) Physical Damage. He is invincible throughout the process."
Diggie,"Diggie, the Timekeeper",48,Support,Guard,Roaming,2468,7.2,490,20,1 ┃ 100%,115,0,20,15,250,,,24000   499,Guard/Poke,759W : 759L (50%),Diggie,Young Again,BUFF,"Upon death, Diggie reverses time and turns back to egg form, in which he can continue to move around and gains a new set of skills. He cannot be targeted in egg form and will revive after a period of time.",Auto Alarm Bomb,AoE Slow,"Diggie flings an owl alarm to the target location that remains stationary for 25s or until it reacts to the first enemy in range, chasing them and exploding upon collision. The explosion deals 500(+100%Total Magic Power) Magic Damage to enemies hit and slows them by 30%.

Diggie gains 2 stacks of Dangerous Sparks each time an enemy hero is hit by the explosion (up to 60 stacks), each stack increasing the skill's damage by 1%. He loses half the stacks upon death, but can gain 1 stack of Dangerous Sparks each time his skill hits an enemy hero when in egg form. Up to 5 owl alarms can exist at the same time.",Reverse Time,CC Damage,"Diggie marks an enemy hero for 4s and pulls them back to their previous location afterward, dealing them 150(+100%Total Magic Power) Magic Damage and briefly slowing them by 80%.

If the enemy escapes too far away, the final pull will be triggered early.",Time Journey,CC Immune Speed Up,Diggie removes all debuffs on nearby allied heroes (including himself) and grants them a 650(+200%Total Magic Power) shield and Control Immunity for 3s. He also gains 50% extra Movement Speed for 0.5s.
Hylos,"Hylos, the Grand Warden",49,Tank,Guard,Roaming/Jungling,2909,18.4,430,12,1.03 ┃ 100%,105,0,17,15,260,,,32000   599,Guard/Initiator,313W : 375L (45.49%),Hylos,Thickened Blood,BUFF,"Hylos gains 1.5 extra Max HP for every 1 extra Max Mana he possesses.
When out of Mana, Hylos can use his HP for skill casts.",Law and Order,CC Damage,"Hylos strikes the target enemy hero or creep with the power of nature, dealing them 300 (+80% Total Magic Power) Magic Damage and stunning them for 1s.",Ring of Punishment,AoE Debuff,"Hylos releases the Ring of Punishment, dealing 100 (+20% Total Magic Power) Magic Damage to nearby enemies per second while slowing them by 4% and reducing their Attack Speed by 7.5% for 2.5s (up to 8 stacks). Each stack also increases the enemy's damage taken from the Ring of Punishment by 5%. The Ring of Punishment consumes 30 Mana per second when it's active.
Use Again: Hylos cancels the Ring of Punishment.",Glorious Pathway,Speed Up HEAL,"Hylos sends a gust of wind in the target direction, creating a pathway for 6s. When on the pathway. he recovers 3% Max HP per second and gains Slow Immunity. Allies moving along the wind current will gain 60% extra Movement Speed, while enemies moving against it will be slowed by 70%."
Zhask,"Zhask, the  King of Swarms",50,Mage,Chase,Mid Lane,2401,6.8,490,20,1 ┃ 100%,107,0,15,15,240,,,32000   599,Chase/Damage,45W : 56L (44.55%),Zhask,Decimation,AoE,"Upon death, Zhask summons a frenzied Nightmaric Spawn on the spot, which gradually loses HP over time until death.",Nightmaric Spawn,Summon,"Zhask summons Nightmaric Spawn that enjoys 50% of his Attributes and has extra 20 Magic Power. Nightmaric Spawn will automatically attack nearby enemies, each attack dealing 120(+120%Magic Damage) Magic Damage. Every 3 attacks launch Death Ray at a target, dealing 90(+20%Magic Damage) Magic Damage and slowing them by up to 75% for 0.6s. If Zhask is too far away from Nightmaric Spawn, it will disappear. 
Fusion Enhanced: The damage of Nightmaric Spawn is increased to 200%, and it can be repositioned.",Mind Eater,CC AoE,"Zhask fires penetrating mental missile in the designated direction, dealing 300(+100%Total Magic Power) Magic Damage to enemies along the way, after which Nightmaric Spawn will cast Mind Eater once. If an enemy is hit by both, it will be stunned for 0.5s. 
Fusion Enhanced: The damage of Zhask and Nightmaric Spawn is fused together, dealing 540(+180%Total Magic Power) Magic Damage.",Hive Clones,Slow Damage,"Zhask releases a swarm of Nightmeric Clones in the targeted direction. The clones will explode and deal 110(+35%Total Magic Power) Magic Damage to enemies on contact, reducing their Movement Speed by 80% for 1s. 

If Nightmeric Clones find no target, they will burrow into the ground and ambush enemies passing by. 
Fusion Enhanced: Zhask releases several swarms of Nightmeric Clones. The subsequent damage dealt to the targets decays to 20%."
Helcurt,"Helcurt, the Shadowbringer",51,Assassin,Push,Jungling,2599,7,440,16,1.16 ┃ 100%,121,0,17,15,255,,,32000   599,Push/Burst,365W : 377L (49.19%),Helcurt,Race Advantage,CC,Enemy heroes who inflict control effects on Helcurt will be silenced for 1.5s. Cooldown: 4s.,Shadow Transition,Blink Slow,"Helcurt blinks to the target location, dealing 150(+70%Total Physical Attack) Physical Damage to enemies hit and slowing them by 90% (decays over 1.5s). Hitting an enemy hero or creep with this skill grants Helcurt 1 Deadly Stinger. 
Dark Night Falls: Enemies hit are also silenced for 1.5s.",Deadly Stinger,Burst Slow,"Helcurt fires all Deadly Stingers in the target direction, each stinger dealing 180(+80%Extra Physical Attack) Physical Damage to enemies hit (only 70% damage against minions and creeps) and slowing them by 8% (can stack) for 3s. The Stingers are viewed as Basic Attacks, can trigger attack effects, but cannot critically strike. 
Passive: Helcurt gains 1 Deadly Stinger on each Basic Attack (up to 5). The number of Stingers will begin to drop after 8s.",Dark Night Falls,BUFF Debuff,"Helcurt summons the Dark Night, greatly reducing all enemy heroes' sight range for 3.5s. He also gains 10% extra Attack Speed and 65% extra Movement Speed for 8s and 1 Deadly Stinger. The number of Stingers won't drop during the night. Dark Night Falls has no effect on enemy Helcurt.
Passive: Helcurt's Attack Speed is increased by 10%."
Pharsa,Pharsa,52,Mage,TBA,Midlane,2421,6.8,490,18,0.98 ┃ 100%,109,0,17,15,240,,,32000   599,Burst/Poke,2001W : 2076L (49.08%),Pharsa,Spiritual Unity,Damage Slow,"Every 8s, Verri enters the Hunting state and assists Pharsa on her next attack against an enemy hero, dealing 8% extra Magic Damage equal to the target's Max HP (+ 1% for every 200 Magic Power owned) and slowing them by 60% for 1s.",Curse of Crow,CC Damage,"Pharsa casts a blast of magic at the target location, dealing 300(+120%Total Magic Power) Magic Damage to enemies hit and marking them for 4s.

Pharsa's subsequent attack against marked enemies will consume the mark and stun them for 1s.",Energy Impact,AoE,"Pharsa releases magic energy in the target direction, dealing 425(+145%Total Magic Power) Magic Damage to enemies hit.",Feathered Air Strike,Burst,"Pharsa flies into mid-air for 8s and launches a round of air raid on the target area, dealing 570(+160%Total Magic Power) Magic Damage to enemies within.
Use Again: Pharsa launches another round of air raid on the target area, dealing the same amount of damage. She can cast this skill up to 4 times within the duration (including the initial cast)."
Lesley,"Lesley, the Deadly Sniper",53,Marksman/Assassin,Finisher/Burst,Gold Lane,2490,7.2,,,1.04 ┃ 100%,140,0,14,15,240,100,240,32000   599,Reap/Burst,282W : 311L (47.55%),Lesley,Lethal Shot,BUFF,"Lesley gains 5 energy each time she hits an enemy with her Basic Attack. If Lesley doesn't take damage for 5s, her next Basic Attack gains extra range, 50% extra Crit Chance, deals 1.2 times damage, and restores double the amount of energy on hit. Lethal Shot deals 20% extra damage to minions. The cooldown of Lethal Shot is reset each time Lesley casts a skill. 

Each point of fixed Physical Penetration Lesley acquires is converted into 1% Crit Chance (doesn't affect percentage Physical Penetration).",Master of Camouflage,Conceal BUFF,"Lesley enters the Camouflage state, gaining double Energy Regen, 40% extra Movement Speed, and 75 extra Physical Attack. 

The state lasts 3s or until Lesley takes or deals damage. Enemies can detect Lesley's position through distortions of their surroundings.",Tactical Grenade,CC Blink,"Lesley throws a tactical grenade in the target direction while slightly jumping back, dealing 150 (+50%Total Physical Attack) Physical Damage to enemies in a cone and knocking them back. Lesley can cast this skill during the Ultimate Snipe to cancel the state and immediately fire a Fatal Bullet at the target. The attack is only triggered when there are unfired Fatal Bullets left.",Ultimate Snipe,Burst,"Lesley locks onto the target enemy hero and fires 4 Fatal Bullets in succession, each dealing Physical Damage equal to 200 (+80%Extra Physical Attack) plus 5% of their lost HP and restoring 10 energy on hit. The Bullets can be blocked by other enemy heroes. 

Lesley can end this skill early, and part of the skill cooldown will be refunded."
Jawhead,"Jawhead, the Steel Sweetheart",54,Fighter,Charge,EXP Lane/Roaming,2658,7.8,430,16,1.12 ┃ 100%,119,0,24,15,255,,,32000   599,Charge/Burst,651W : 707L (47.94%),Jawhead,Mecha Suppression,BUFF,Jawhead's attacks apply a stack of Mecha Suppression on hit (up to 10 stacks). Each stack lasts 3s and increases the damage of Jawhead's Basic Attacks to the enemy by 8%.,Smart Missiles,Burst,"Jawhead begins channeling and launches up to 12 missiles at random nearby enemies over 5s, each missile dealing 135 (+30% Total Physical Attack) Physical Damage to the enemy hit.",Ejector,Shield CC,"Jawhead gains 30% extra Movement Speed and a 250 (+180% Total Physical Attack) shield for 5s.
Use Again: Jawhead flings the nearest unit to the target location, dealing 300 (+80% Total Physical Attack) Physical Damage to enemies in the area and stunning them for 0.5s (prioritizes heroes, including allied heroes, though allied heroes won't take damage).",Unstoppable Force,Blink CC,"Jawhead charges into the target enemy hero, dealing them 350 (+150% Total Physical Attack) Physical Damage and briefly stunning them. Enemies around the target are knocked back and dealt the same amount of the damage."
Angela,"Angela, the Bunnylove",55,Support,Guard,Roaming,2421,6.8,515,18,0.99 ┃ 100%,115,0,15,15,240,,,24000   499,Guard/Support,738W : 825L (47.22%),Angela,Smart Heart,Speed Up,"Angela gains 15% extra Movement Speed for 4s each time she casts a skill (up to 30%). When she's attached to an allied hero, the Movement Speed boost is transferred to the allied hero.",Love Waves,HEAL AoE,"Angela sends Love Energy in the target direction, dealing 170(+80%Total Magic Power) Magic Damage to enemies hit and applying a stack of Lover's Mark to them (up to 5 stacks). Each stack of Lover's Mark allows the next Love Waves against the enemy to deal 20% extra damage and slow them by 8% for 3s.

The Love Energy also restores 150(+60% Total Magic Power) HP for allied heroes hit. Angela stores up to 5 Love Waves charges. The recharge time is affected by her Cooldown Reduction",Puppet-on-a-String,Slow CC,"Angela aims a Puppet String at the target enemy, dealing them 300(+40%Total Magic Power) Magic Damage and gradually slowing them by up to 80%. If the enemy is still connected to the String after 3s, they'll be immobilized for 1.5s and dealt 450(+60%Total Magic Power) Magic Damage.

Each stack of Lover's Mark increases the final damage by 20%.",Heartguard,Attach Shield,"Angela begins channeling, applying a 1200(+200%Total Magic Power) shield that lasts 6s to the target allied hero regardless of distance. After the channeling is complete, she attaches herself to the allied hero for 12s, during which she can cast skills at zero Mana cost.

Angela can cast this skill again to cancel the channeling or detach herself from the allied hero. The attaching state will end early if the allied hero is killed."
Gusion,"Gusion, the Holy Blade",56,Assassin,Burst,Jungling,2578,7.8,460,16,1.11 ┃ 100%,119,0,18,15,260,,,32000   599,Burst/Magic Damage,320W : 284L (52.98%),Gusion,Dagger Specialist,BUFF HEAL,"Each cast allows his Basic Attack to deal additional damage equal to 3% of the target's missing HP and restore 50 (+25% Total Magic Power) HP, up to 4 stacks.",Sword Spike,Damage Blink,"Gusion throws a dagger in the target direction, dealing 200(+50%Total Magic Power) Magic Damage to the first enemy hit and marking them.
Use Again: Gusion moves behind the marked enemy, dealing them 200(+100%Total Magic Power) Magic Damage.",Shadowblade Slaughter,AoE Slow,"Gusion throws a volley of daggers in the target direction, each dealing 110(+50%Total Magic Power) Magic Damage to enemies hit and slowing them by 6% for 2s (multiple daggers' slow effects can stack, up to 30%).
Use Again: Gusion recalls the daggers, each dealing 65(+40%Total Magic Power) Magic Damage to enemies in its path.",Incandescence,Blink BUFF,"Gusion dashes to the target location, resetting the cooldown of Sword Spike and Shadowblade Slaughter. If Shadowblade Slaughter was cast once before the reset, Gusion can throw another five daggers on his next Shadowblade Slaughter cast, and recall a total of ten daggers afterward.
Use Again: Gusion dashes a short distance in the target direction."
